address,nodes,edges,n_edges_incoming,n_edges_outcoming,percentage_incoming,percentage_outcoming,total_weight_in,total_weight_out
0x6b378be3c9642ccf25b1a27facb8ace24ac34a12,5,10,10,0,100.0,0.0,187579703.66,0
0x062448f804191128d71fc72e10a1d13bd7308e7e,9,35,16,19,45.714285714285715,54.285714285714285,665707017.8127407,458878037.8007075
0xac08f21ef597a51865d69896f09b52472acde80d,50,64,64,0,100.0,0.0,3619216876.4954185,0
0x3668ca5ea7f92621123bccbc631f0a9c169324ec,3,4,4,0,100.0,0.0,176964034.0227952,0
0x795cbc7a670d06e56cd2197d4ca175e081a416ad,2,21,21,0,100.0,0.0,0.0,0
0xad0d53cf033ab63dc72d653640766ee1d366cef6,55,70,70,0,100.0,0.0,776852589.1457045,0
0xdca6ab9508d28c0eb7b120b8252041edcb56753f,2,6,6,0,100.0,0.0,0.0,0
0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,55,68,68,0,100.0,0.0,1071412412.4324764,0
0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,55,64,64,0,100.0,0.0,563081907.1644757,0
0x3f4ac8d3e1414b5351e632391908177c012c65cc,58,67,67,0,100.0,0.0,768413727.6786754,0
0xa0e239b0abf4582366adaff486ee268c848c4409,30,37,7,30,18.91891891891892,81.08108108108108,653343469.179783,480264205.8764542
0x831c3720681096f276cb016b51a33433d7cb2faa,36,61,61,0,100.0,0.0,957154405.1030043,0
0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,25,59,59,0,100.0,0.0,1167482912.6909442,0
0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,49,71,71,0,100.0,0.0,988836069.1364154,0
0xb3177d9873b7ac246874114d8760e66dc5e797cc,46,66,66,0,100.0,0.0,2975312317.885521,0
0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,50,72,72,0,100.0,0.0,902641780.0685837,0
0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,49,70,70,0,100.0,0.0,1144907261.2165735,0
0x8759b0b1d9cba80e3836228dfb982abaa2c48b97,59,304,32,272,10.526315789473683,89.47368421052632,302507860.48031765,5942981360.940282
0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3,5,230,230,0,100.0,0.0,3583353357.263211,0
0x92cf9066c657b1f63a7a2dc37255b31be6ef1858,5,233,233,0,100.0,0.0,2169211714.6748195,0
0xecef66258cc21cb742ac34c68375b311fd3f34cc,33,138,138,0,100.0,0.0,2148571680.8671093,0
0xcaaad25746a0e04a3c7eff86422991b00fd3d76a,48,72,72,0,100.0,0.0,5216536151.294412,0
0xd65d71e5ecccfcf72b84cad65370626e048d1b33,45,69,69,0,100.0,0.0,7743276756.585954,0
0x1f72b240b6fffceba07bdaa097cc7b216a643a0f,49,74,74,0,100.0,0.0,5276174883.742977,0
0x4e5fab20b7b83c6f557b20c820883eab0a0b343b,52,81,81,0,100.0,0.0,1293202782.022599,0
0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,53,78,78,0,100.0,0.0,1166443906.2681763,0
0x54cee0ef273d3d08ed120b0c561c0284a4c4490e,54,74,74,0,100.0,0.0,727449890.5417874,0
0xe27f62b70ab44d7fd1842dce66138a31940fa29a,49,69,69,0,100.0,0.0,3011769045.083833,0
0x9aabd298b30d034f8c64f86aa25fc74b9f70930f,49,70,70,0,100.0,0.0,1536529105.4247088,0
0xc4d5b7c576edfbac20fa081cff79ec745193e207,5,220,220,0,100.0,0.0,6878580326.549193,0
0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c,17,115,94,21,81.73913043478261,18.26086956521739,346300352.6746278,79589578.58330001
0x722539c58ea8c1ddc1137ca39a6e3410673a21cb,3,2,2,0,100.0,0.0,170039248.66218776,0
0xd40e8cee01a147f0a24524d725ef1f0297ba6b06,10,44,24,20,54.54545454545454,45.45454545454546,171625942.9257248,35437677.243599996
0xdfb6a4b143f6a1de4725c451c46433801de52bfd,5,20,6,14,30.0,70.0,250827905.07191008,83232410.26050654
0x8b505e2871f7deb7a63895208e8227dcaa1bff05,2,2,2,0,100.0,0.0,9.80569426e-12,0
0x8156b28ca956c3a8bab86e1d38d8648d58cd23ec,4,24,22,2,91.66666666666666,8.333333333333343,163564063.65504324,0.0
0x2eb08efb9e10d9f56e46938f28c13ecb33f67b15,15,37,8,29,21.62162162162162,78.37837837837839,456934115.7407612,660387340.2567998
0x5a52e96bacdabb82fd05763e25335261b270efcb,62,118,30,88,25.423728813559322,74.57627118644068,162226362.0032463,0.270377
0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,8,39,39,0,100.0,0.0,160830862.53632703,0
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,7,40,40,0,100.0,0.0,160801395.14932704,0
0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd,19,159,95,64,59.74842767295597,40.25157232704403,286634239.8434477,252797511.48076
0xa43d2e05ed00c040c8422a88cb8ede921a539f92,223,790,569,221,72.0253164556962,27.9746835443038,1004332094.0000325,229286690.74361956
0x998a7fd73446cd6532bf3058a270581730b27137,5,5,2,3,40.0,60.0,796370971.636418,159243847.607467
0xe681805938eb98943396fd03f77d71e75f4b28fd,4,4,4,0,100.0,0.0,156669453.67684105,0
0x904cc2b2694ffa78f04708d6f7de205108213126,5,8,8,0,100.0,0.0,211414357.5,0
0x693be1ea307e3b3826d34e96336399969898dee8,4,3,2,1,66.66666666666666,33.33333333333334,637129825.8689749,0.0
0x16769e533352798deb664ba570230a758346ca1a,11,258,192,66,74.4186046511628,25.581395348837205,721346171.6317601,565538978.0
0xfc91c862dbed337369015f5b244bee027fb135e4,22,83,83,0,100.0,0.0,315914665.4998232,0
0xab7bb7959332888e44d795c6f28ee876a8469eaa,3,10,10,0,100.0,0.0,26.9555,0
0x51cab40a6895d2a5c092f3766b3b9830884b0adf,2,2,2,0,100.0,0.0,153650691.08844,0
0xd03be958e6b8da2d28ac8231a2291d6e4f0a7ea7,5,5,3,2,60.0,40.0,152774781.03246298,5.39112
0xd0ffc75e8000cba848d259b8d121a7bfcc13dce8,5,6,6,0,100.0,0.0,10188869.718399303,0
0x4817d93d9b229e0771db0b7c970573d4dd953c4a,4,3,2,1,66.66666666666666,33.33333333333334,151792241.240915,0.0
0x05576087d1ad92873da0a3b76e7105195935b0f5,3,2,1,1,50.0,50.0,7.372048860000001e-12,0.0
0x756d64dc5edb56740fc617628dc832ddbcfd373c,2,31,31,0,100.0,0.0,0.0,0
0xc7347bd4d7610bd7b5e0865c7ee18b8d2c3c2560,3,2,2,0,100.0,0.0,148300481.75698918,0
0x7c2a289c0523e748c286a37570d2efc16d2c934e,5,4,3,1,75.0,25.0,148371398.47144,64.7536
0x04ed6d343c9c358687b772f1edb265482e33a8a8,2,2,2,0,100.0,0.0,148458469.924,0
